               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024026,             0.01091,                   0,             0.90761,             0.88579,             0.95945,             0.71378,            0.020121,           0.0055297,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023959,           0.0099573,                   0,             0.87839,             0.92623,             0.95081,             0.71241,            0.019662,           0.0051244,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02343,            0.010312,                   0,              0.8837,             0.92623,             0.95331,              0.7238,            0.019795,           0.0051993,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023263,            0.010402,                   0,             0.92415,             0.89879,              0.9543,             0.72573,            0.018974,           0.0052951,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022323,           0.0096414,                   0,             0.94595,             0.88525,             0.95972,             0.71585,            0.019264,           0.0055532,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023077,            0.010596,                   0,             0.94449,             0.86885,              0.9586,             0.72742,            0.019204,           0.0054906,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023713,            0.010257,                   0,             0.91144,             0.92801,             0.95672,             0.71691,            0.019812,           0.0052188,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.023146,           0.0099755,                   0,             0.89568,             0.92623,             0.95728,             0.72798,            0.019729,           0.0053598,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022404,            0.010267,                   0,             0.93387,             0.92605,             0.95828,             0.74847,            0.018134,           0.0051904,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022535,            0.009944,                   0,             0.91738,             0.91019,                0.95,             0.73226,             0.01883,           0.0052743,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021333,           0.0094494,                   0,             0.91445,             0.88525,             0.95116,             0.73174,            0.018587,           0.0053972,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.023249,           0.0098961,                   0,             0.89648,             0.92623,             0.95143,             0.73007,            0.019208,           0.0055226,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022351,           0.0097606,                   0,             0.90975,             0.92623,             0.95001,              0.7485,             0.01812,           0.0055725,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.022037,           0.0099074,                   0,             0.91493,             0.90984,             0.94263,             0.71418,             0.01862,             0.00528,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.022147,           0.0099755,                   0,             0.93143,             0.89079,             0.95757,             0.74803,            0.017754,           0.0051648,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022055,           0.0096446,                   0,             0.93897,             0.90164,             0.95446,             0.75876,            0.017917,           0.0051905,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.021874,           0.0097551,                   0,             0.89655,             0.92352,             0.95499,             0.74928,            0.018147,           0.0052797,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021473,            0.010141,                   0,             0.95288,             0.86066,             0.95018,             0.74965,            0.017849,           0.0055294,                   0,            0.004654,            0.004654,            0.004654
